yearweek,campaign_id,campaign_name,currency,impressions,ctr,cpc,cpm,cost,media,clicks,cost_convertion,store_group_id,tabla_medio,name_storeGroup,campaign,ISOweek,sales
202220,23849161940260106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP3,USD,4593,0.0081,0.91,7.33,33.67,Facebook,37,4.81,18,Facebook Weekly,LFX_CALIUP3,LFX_STAGEI,202222,39
202219,23849161940260106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP3,USD,18124,0.0064,1.14,7.31,132.44,Facebook,116,4.41,18,Facebook Weekly,LFX_CALIUP3,LFX_STAGEI,202221,59
202217,23849161940260106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP3,USD,15937,0.0078,1.08,8.39,133.7,Facebook,124,4.61,18,Facebook Weekly,LFX_CALIUP3,LFX_STAGEI,202219,43
202216,23849161940260106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP3,USD,16418,0.0076,1.07,8.07,132.49,Facebook,124,5.3,18,Facebook Weekly,LFX_CALIUP3,LFX_STAGEI,202218,48
202215,23849161940260106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP3,USD,17656,0.0064,1.18,7.54,133.05,Facebook,113,4.29,18,Facebook Weekly,LFX_CALIUP3,LFX_STAGEI,202217,72
202214,23849161940260106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP3,USD,19507,0.0058,1.17,6.82,132.94,Facebook,114,5.78,18,Facebook Weekly,LFX_CALIUP3,LFX_STAGEI,202216,39
202213,23849161940260106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP3,USD,18387,0.0069,1.05,7.28,133.89,Facebook,127,6.69,18,Facebook Weekly,LFX_CALIUP3,LFX_STAGEI,202215,33
202212,23849161940260106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP3,USD,15749,0.0063,1.35,8.46,133.31,Facebook,99,5.13,18,Facebook Weekly,LFX_CALIUP3,LFX_STAGEI,202214,35
202211,23849161940260106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP3,USD,17879,0.0069,1.08,7.41,132.56,Facebook,123,8.29,18,Facebook Weekly,LFX_CALIUP3,LFX_STAGEI,202213,66
202210,23849161940260106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP3,USD,21467,0.0064,0.97,6.2,133.2,Facebook,137,7.4,18,Facebook Weekly,LFX_CALIUP3,LFX_STAGEI,202212,37
202209,23849161940260106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP3,USD,21297,0.0068,0.92,6.25,133.1,Facebook,145,3.8,18,Facebook Weekly,LFX_CALIUP3,LFX_STAGEI,202211,67
202208,23849161940260106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP3,USD,20932,0.0081,0.79,6.35,132.91,Facebook,169,3.32,18,Facebook Weekly,LFX_CALIUP3,LFX_STAGEI,202210,77
