store_group_id,ISOweek,sales,name,campaign,tabla_medio,yearweek,cost_campaign
32,202105,333,LFX_ALLUP1,LFX_STAGEI,,,
29,202105,146,LFX_BLW5,LFX_STAGEI,,,
24,202105,179,LFX_TXUP1,LFX_STAGEI,,,
28,202105,33,LFX_BLW1,LFX_STAGEI,,,
23,202105,114,LFX_TXUP2,LFX_STAGEI,,,
22,202105,49,LFX_TXUP3,LFX_STAGEI,,,
26,202105,77,LFX_FLUP1,LFX_STAGEI,,,
31,202105,50,LFX_WILLIUP1,LFX_STAGEI,,,
18,202105,57,LFX_CALIUP3,LFX_STAGEI,,,
20,202105,76,LFX_CALIUP2,LFX_STAGEI,,,
25,202105,94,LFX_FLUP3,LFX_STAGEI,,,
21,202105,127,LFX_CALIUP1,LFX_STAGEI,,,
30,202105,67,LFX_NORESTEALL,LFX_STAGEI,,,
32,202106,303,LFX_ALLUP1,LFX_STAGEI,,,
29,202106,135,LFX_BLW5,LFX_STAGEI,,,
24,202106,180,LFX_TXUP1,LFX_STAGEI,,,
28,202106,37,LFX_BLW1,LFX_STAGEI,,,
23,202106,128,LFX_TXUP2,LFX_STAGEI,,,
22,202106,58,LFX_TXUP3,LFX_STAGEI,,,
26,202106,64,LFX_FLUP1,LFX_STAGEI,,,
31,202106,47,LFX_WILLIUP1,LFX_STAGEI,,,
18,202106,49,LFX_CALIUP3,LFX_STAGEI,,,
20,202106,93,LFX_CALIUP2,LFX_STAGEI,,,
25,202106,116,LFX_FLUP3,LFX_STAGEI,,,
21,202106,115,LFX_CALIUP1,LFX_STAGEI,,,
30,202106,62,LFX_NORESTEALL,LFX_STAGEI,,,
32,202107,252,LFX_ALLUP1,LFX_STAGEI,,,
29,202107,110,LFX_BLW5,LFX_STAGEI,,,
24,202107,99,LFX_TXUP1,LFX_STAGEI,,,
28,202107,27,LFX_BLW1,LFX_STAGEI,,,
23,202107,63,LFX_TXUP2,LFX_STAGEI,,,
22,202107,43,LFX_TXUP3,LFX_STAGEI,,,
26,202107,55,LFX_FLUP1,LFX_STAGEI,,,
31,202107,46,LFX_WILLIUP1,LFX_STAGEI,,,
18,202107,39,LFX_CALIUP3,LFX_STAGEI,,,
20,202107,71,LFX_CALIUP2,LFX_STAGEI,,,
25,202107,82,LFX_FLUP3,LFX_STAGEI,,,
21,202107,106,LFX_CALIUP1,LFX_STAGEI,,,
30,202107,51,LFX_NORESTEALL,LFX_STAGEI,,,
32,202108,307,LFX_ALLUP1,LFX_STAGEI,,,
29,202108,136,LFX_BLW5,LFX_STAGEI,,,
24,202108,176,LFX_TXUP1,LFX_STAGEI,,,
28,202108,22,LFX_BLW1,LFX_STAGEI,,,
23,202108,105,LFX_TXUP2,LFX_STAGEI,,,
22,202108,60,LFX_TXUP3,LFX_STAGEI,,,
26,202108,72,LFX_FLUP1,LFX_STAGEI,,,
31,202108,44,LFX_WILLIUP1,LFX_STAGEI,,,
18,202108,68,LFX_CALIUP3,LFX_STAGEI,,,
20,202108,89,LFX_CALIUP2,LFX_STAGEI,,,
25,202108,122,LFX_FLUP3,LFX_STAGEI,,,
21,202108,125,LFX_CALIUP1,LFX_STAGEI,,,
30,202108,79,LFX_NORESTEALL,LFX_STAGEI,,,
32,202109,314,LFX_ALLUP1,LFX_STAGEI,,,
29,202109,157,LFX_BLW5,LFX_STAGEI,,,
24,202109,161,LFX_TXUP1,LFX_STAGEI,,,
28,202109,28,LFX_BLW1,LFX_STAGEI,,,
23,202109,120,LFX_TXUP2,LFX_STAGEI,,,
22,202109,55,LFX_TXUP3,LFX_STAGEI,,,
26,202109,76,LFX_FLUP1,LFX_STAGEI,,,
31,202109,59,LFX_WILLIUP1,LFX_STAGEI,,,
18,202109,53,LFX_CALIUP3,LFX_STAGEI,,,
20,202109,93,LFX_CALIUP2,LFX_STAGEI,,,
25,202109,104,LFX_FLUP3,LFX_STAGEI,,,
21,202109,168,LFX_CALIUP1,LFX_STAGEI,,,
30,202109,87,LFX_NORESTEALL,LFX_STAGEI,,,
32,202110,381,LFX_ALLUP1,LFX_STAGEI,,,
29,202110,136,LFX_BLW5,LFX_STAGEI,,,
24,202110,188,LFX_TXUP1,LFX_STAGEI,,,
28,202110,32,LFX_BLW1,LFX_STAGEI,,,
23,202110,111,LFX_TXUP2,LFX_STAGEI,,,
22,202110,63,LFX_TXUP3,LFX_STAGEI,,,
26,202110,69,LFX_FLUP1,LFX_STAGEI,,,
31,202110,47,LFX_WILLIUP1,LFX_STAGEI,,,
18,202110,62,LFX_CALIUP3,LFX_STAGEI,,,
20,202110,88,LFX_CALIUP2,LFX_STAGEI,,,
25,202110,96,LFX_FLUP3,LFX_STAGEI,,,
21,202110,128,LFX_CALIUP1,LFX_STAGEI,,,
30,202110,75,LFX_NORESTEALL,LFX_STAGEI,,,
32,202111,311,LFX_ALLUP1,LFX_STAGEI,,,
29,202111,144,LFX_BLW5,LFX_STAGEI,,,
24,202111,203,LFX_TXUP1,LFX_STAGEI,,,
28,202111,28,LFX_BLW1,LFX_STAGEI,,,
23,202111,111,LFX_TXUP2,LFX_STAGEI,,,
22,202111,70,LFX_TXUP3,LFX_STAGEI,,,
26,202111,78,LFX_FLUP1,LFX_STAGEI,,,
31,202111,39,LFX_WILLIUP1,LFX_STAGEI,,,
18,202111,63,LFX_CALIUP3,LFX_STAGEI,,,
20,202111,88,LFX_CALIUP2,LFX_STAGEI,,,
25,202111,71,LFX_FLUP3,LFX_STAGEI,,,
21,202111,134,LFX_CALIUP1,LFX_STAGEI,,,
30,202111,98,LFX_NORESTEALL,LFX_STAGEI,,,
32,202112,271,LFX_ALLUP1,LFX_STAGEI,,,
29,202112,114,LFX_BLW5,LFX_STAGEI,,,
24,202112,186,LFX_TXUP1,LFX_STAGEI,,,
28,202112,48,LFX_BLW1,LFX_STAGEI,,,
23,202112,98,LFX_TXUP2,LFX_STAGEI,,,
22,202112,41,LFX_TXUP3,LFX_STAGEI,,,
26,202112,79,LFX_FLUP1,LFX_STAGEI,,,
31,202112,70,LFX_WILLIUP1,LFX_STAGEI,,,
18,202112,66,LFX_CALIUP3,LFX_STAGEI,,,
20,202112,84,LFX_CALIUP2,LFX_STAGEI,,,
25,202112,83,LFX_FLUP3,LFX_STAGEI,,,
21,202112,112,LFX_CALIUP1,LFX_STAGEI,,,
30,202112,54,LFX_NORESTEALL,LFX_STAGEI,,,
32,202113,363,LFX_ALLUP1,LFX_STAGEI,,,
29,202113,170,LFX_BLW5,LFX_STAGEI,,,
24,202113,168,LFX_TXUP1,LFX_STAGEI,,,
28,202113,30,LFX_BLW1,LFX_STAGEI,,,
23,202113,124,LFX_TXUP2,LFX_STAGEI,,,
22,202113,59,LFX_TXUP3,LFX_STAGEI,,,
26,202113,76,LFX_FLUP1,LFX_STAGEI,,,
31,202113,40,LFX_WILLIUP1,LFX_STAGEI,,,
18,202113,57,LFX_CALIUP3,LFX_STAGEI,,,
20,202113,101,LFX_CALIUP2,LFX_STAGEI,,,
25,202113,96,LFX_FLUP3,LFX_STAGEI,,,
21,202113,141,LFX_CALIUP1,LFX_STAGEI,,,
30,202113,56,LFX_NORESTEALL,LFX_STAGEI,,,
32,202115,289,LFX_ALLUP1,LFX_STAGEI,,,
29,202115,141,LFX_BLW5,LFX_STAGEI,,,
24,202115,164,LFX_TXUP1,LFX_STAGEI,,,
28,202115,20,LFX_BLW1,LFX_STAGEI,,,
23,202115,127,LFX_TXUP2,LFX_STAGEI,,,
22,202115,78,LFX_TXUP3,LFX_STAGEI,,,
26,202115,64,LFX_FLUP1,LFX_STAGEI,,,
31,202115,54,LFX_WILLIUP1,LFX_STAGEI,,,
18,202115,66,LFX_CALIUP3,LFX_STAGEI,,,
20,202115,86,LFX_CALIUP2,LFX_STAGEI,,,
25,202115,99,LFX_FLUP3,LFX_STAGEI,,,
21,202115,138,LFX_CALIUP1,LFX_STAGEI,,,
30,202115,77,LFX_NORESTEALL,LFX_STAGEI,,,
32,202114,362,LFX_ALLUP1,LFX_STAGEI,,,
29,202114,158,LFX_BLW5,LFX_STAGEI,,,
24,202114,197,LFX_TXUP1,LFX_STAGEI,,,
28,202114,33,LFX_BLW1,LFX_STAGEI,,,
23,202114,145,LFX_TXUP2,LFX_STAGEI,,,
22,202114,67,LFX_TXUP3,LFX_STAGEI,,,
26,202114,81,LFX_FLUP1,LFX_STAGEI,,,
31,202114,57,LFX_WILLIUP1,LFX_STAGEI,,,
18,202114,59,LFX_CALIUP3,LFX_STAGEI,,,
20,202114,92,LFX_CALIUP2,LFX_STAGEI,,,
25,202114,96,LFX_FLUP3,LFX_STAGEI,,,
21,202114,125,LFX_CALIUP1,LFX_STAGEI,,,
30,202114,92,LFX_NORESTEALL,LFX_STAGEI,,,
32,202116,276,LFX_ALLUP1,LFX_STAGEI,,,
29,202116,142,LFX_BLW5,LFX_STAGEI,,,
24,202116,162,LFX_TXUP1,LFX_STAGEI,,,
28,202116,15,LFX_BLW1,LFX_STAGEI,,,
23,202116,98,LFX_TXUP2,LFX_STAGEI,,,
22,202116,49,LFX_TXUP3,LFX_STAGEI,,,
26,202116,73,LFX_FLUP1,LFX_STAGEI,,,
31,202116,52,LFX_WILLIUP1,LFX_STAGEI,,,
18,202116,45,LFX_CALIUP3,LFX_STAGEI,,,
20,202116,82,LFX_CALIUP2,LFX_STAGEI,,,
25,202116,101,LFX_FLUP3,LFX_STAGEI,,,
21,202116,136,LFX_CALIUP1,LFX_STAGEI,,,
30,202116,67,LFX_NORESTEALL,LFX_STAGEI,,,
32,202117,274,LFX_ALLUP1,LFX_STAGEI,,,
29,202117,138,LFX_BLW5,LFX_STAGEI,,,
24,202117,151,LFX_TXUP1,LFX_STAGEI,,,
28,202117,33,LFX_BLW1,LFX_STAGEI,,,
23,202117,113,LFX_TXUP2,LFX_STAGEI,,,
22,202117,55,LFX_TXUP3,LFX_STAGEI,,,
26,202117,80,LFX_FLUP1,LFX_STAGEI,,,
31,202117,36,LFX_WILLIUP1,LFX_STAGEI,,,
18,202117,60,LFX_CALIUP3,LFX_STAGEI,,,
20,202117,58,LFX_CALIUP2,LFX_STAGEI,,,
25,202117,96,LFX_FLUP3,LFX_STAGEI,,,
21,202117,126,LFX_CALIUP1,LFX_STAGEI,,,
30,202117,93,LFX_NORESTEALL,LFX_STAGEI,,,
32,202118,338,LFX_ALLUP1,LFX_STAGEI,,,
29,202118,142,LFX_BLW5,LFX_STAGEI,,,
24,202118,174,LFX_TXUP1,LFX_STAGEI,,,
28,202118,28,LFX_BLW1,LFX_STAGEI,,,
23,202118,116,LFX_TXUP2,LFX_STAGEI,,,
22,202118,55,LFX_TXUP3,LFX_STAGEI,,,
26,202118,75,LFX_FLUP1,LFX_STAGEI,,,
31,202118,48,LFX_WILLIUP1,LFX_STAGEI,,,
18,202118,70,LFX_CALIUP3,LFX_STAGEI,,,
20,202118,87,LFX_CALIUP2,LFX_STAGEI,,,
25,202118,73,LFX_FLUP3,LFX_STAGEI,,,
21,202118,130,LFX_CALIUP1,LFX_STAGEI,,,
30,202118,80,LFX_NORESTEALL,LFX_STAGEI,,,
32,202119,268,LFX_ALLUP1,LFX_STAGEI,,,
29,202119,134,LFX_BLW5,LFX_STAGEI,,,
24,202119,172,LFX_TXUP1,LFX_STAGEI,,,
28,202119,26,LFX_BLW1,LFX_STAGEI,,,
23,202119,98,LFX_TXUP2,LFX_STAGEI,,,
22,202119,76,LFX_TXUP3,LFX_STAGEI,,,
26,202119,72,LFX_FLUP1,LFX_STAGEI,,,
31,202119,42,LFX_WILLIUP1,LFX_STAGEI,,,
18,202119,59,LFX_CALIUP3,LFX_STAGEI,,,
20,202119,72,LFX_CALIUP2,LFX_STAGEI,,,
25,202119,59,LFX_FLUP3,LFX_STAGEI,,,
21,202119,107,LFX_CALIUP1,LFX_STAGEI,,,
30,202119,29,LFX_NORESTEALL,LFX_STAGEI,,,
32,202120,329,LFX_ALLUP1,LFX_STAGEI,,,
29,202120,135,LFX_BLW5,LFX_STAGEI,,,
24,202120,178,LFX_TXUP1,LFX_STAGEI,,,
28,202120,27,LFX_BLW1,LFX_STAGEI,,,
23,202120,134,LFX_TXUP2,LFX_STAGEI,,,
22,202120,65,LFX_TXUP3,LFX_STAGEI,,,
26,202120,59,LFX_FLUP1,LFX_STAGEI,,,
